split_seed,method,scope,precision,recall,f1,auroc,n,positives
20260403,Isolation Forest,accelerated_battery_degradation,0.0266666666666666,0.064516129032258,0.0377358490566037,0.8354390078004023,2260,31
20260403,Isolation Forest,gps_jitter_spoofing,0.1204819277108433,0.25,0.1626016260162601,0.8615522655899507,2269,40
20260403,Isolation Forest,intermittent_software_hang,0.2234042553191489,0.6,0.3255813953488372,0.943664679869256,2264,35
20260403,One-Class SVM,all_faults,0.5574324324324325,0.9649122807017544,0.7066381156316917,0.9822383834567726,2400,171
20260403,One-Class SVM,motor_stall,0.1602564102564102,1.0,0.2762430939226519,0.996034096007178,2254,25
20260403,One-Class SVM,gradual_sensor_drift,0.2339181286549707,1.0,0.3791469194312796,0.9966969493046208,2269,40
20260403,One-Class SVM,accelerated_battery_degradation,0.191358024691358,1.0,0.3212435233160621,0.9890229959912588,2260,31
20260403,One-Class SVM,gps_jitter_spoofing,0.206060606060606,0.85,0.3317073170731707,0.9409937191565724,2269,40
20260403,One-Class SVM,intermittent_software_hang,0.2108433734939759,1.0,0.3482587064676617,0.9969877587643402,2264,35
20260403,LOF,all_faults,0.5901060070671378,0.9766081871345028,0.73568281938326,0.981800246091526,2400,171
20260403,LOF,motor_stall,0.1773049645390071,1.0,0.3012048192771084,0.9968236877523552,2254,25
20260403,LOF,gradual_sensor_drift,0.2564102564102564,1.0,0.4081632653061224,0.9979475100942126,2269,40
20260403,LOF,accelerated_battery_degradation,0.2108843537414966,1.0,0.348314606741573,0.990694510774396,2260,31
20260403,LOF,gps_jitter_spoofing,0.2368421052631578,0.9,0.375,0.936608344549125,2269,40
20260403,LOF,intermittent_software_hang,0.2317880794701986,1.0,0.3763440860215054,0.996385310517208,2264,35
20260403,LSTM Autoencoder,all_faults,0.4517374517374517,0.7090909090909091,0.5518867924528302,0.9091250096876696,2120,165
20260403,LSTM Autoencoder,motor_stall,0.144578313253012,0.96,0.2513089005235602,0.9646035805626598,1980,25
20260403,LSTM Autoencoder,gradual_sensor_drift,0.1977401129943503,0.9722222222222222,0.3286384976525822,0.984555271383916,1991,36
20260403,LSTM Autoencoder,accelerated_battery_degradation,0.0,0.0,0.0,0.7120699612243214,1986,31
20260403,LSTM Autoencoder,gps_jitter_spoofing,0.1547619047619047,0.65,0.25,0.9058823529411766,1995,40
20260403,LSTM Autoencoder,intermittent_software_hang,0.1839080459770115,0.9696969696969696,0.3091787439613526,0.973851042393242,1988,33
20260404,Isolation Forest,all_faults,0.5909090909090909,0.3312101910828025,0.4244897959183673,0.904563667290452,2400,157
20260404,Isolation Forest,motor_stall,0.4929577464788732,0.8974358974358975,0.6363636363636364,0.9919750334373608,2282,39
20260404,Isolation Forest,gradual_sensor_drift,0.027027027027027,0.0416666666666666,0.0327868852459016,0.9294285926586418,2267,24
20260404,Isolation Forest,accelerated_battery_degradation,0.0526315789473684,0.048780487804878,0.050632911392405,0.8875199808618683,2284,41
20260404,Isolation Forest,gps_jitter_spoofing,0.0526315789473684,0.064516129032258,0.0579710144927536,0.7897832683761667,2274,31
20260404,Isolation Forest,intermittent_software_hang,0.25,0.5454545454545454,0.3428571428571428,0.9159810318972156,2265,22
20260404,One-Class SVM,all_faults,0.5136054421768708,0.961783439490446,0.6696230598669624,0.9815917035589846,2400,157
20260404,One-Class SVM,motor_stall,0.2142857142857142,1.0,0.3529411764705882,0.997130674348686,2282,39
20260404,One-Class SVM,gradual_sensor_drift,0.1437125748502994,1.0,0.2513089005235602,0.9965076534403328,2267,24
20260404,One-Class SVM,accelerated_battery_degradation,0.2228260869565217,1.0,0.3644444444444444,0.985015712841034,2284,41
20260404,One-Class SVM,gps_jitter_spoofing,0.1488095238095238,0.8064516129032258,0.2512562814070351,0.9348942228869744,2274,31
20260404,One-Class SVM,intermittent_software_hang,0.1333333333333333,1.0,0.2352941176470588,0.997193288209784,2265,22
20260404,LOF,all_faults,0.5400696864111498,0.9872611464968152,0.6981981981981982,0.9916541483624922,2400,157
20260404,LOF,motor_stall,0.2280701754385964,1.0,0.3714285714285714,0.9982395372497914,2282,39
20260404,LOF,gradual_sensor_drift,0.1538461538461538,1.0,0.2666666666666666,0.9974178927032248,2267,24
20260404,LOF,accelerated_battery_degradation,0.2369942196531791,1.0,0.3831775700934579,0.9875602144340658,2284,41
20260404,LOF,gps_jitter_spoofing,0.1801242236024844,0.935483870967742,0.3020833333333333,0.980527231674169,2274,31
20260404,LOF,intermittent_software_hang,0.1428571428571428,1.0,0.25,0.9970007700725488,2265,22
20260404,LSTM Autoencoder,all_faults,0.5064935064935064,0.5064935064935064,0.5064935064935064,0.8809766022380467,2120,154
20260404,LSTM Autoencoder,motor_stall,0.3274336283185841,1.0,0.4933333333333333,0.9920678562591076,2003,37
20260404,LSTM Autoencoder,gradual_sensor_drift,0.2244897959183673,0.9166666666666666,0.360655737704918,0.9776619192946762,1990,24
20260404,LSTM Autoencoder,accelerated_battery_degradation,0.0,0.0,0.0,0.7193136987321043,2007,41
20260404,LSTM Autoencoder,gps_jitter_spoofing,0.05,0.1333333333333333,0.0727272727272727,0.8543913190912173,1996,30
20260404,LSTM Autoencoder,intermittent_software_hang,0.1648351648351648,0.6818181818181818,0.2654867256637168,0.9261999445112364,1988,22
20260405,Isolation Forest,all_faults,0.2894736842105263,0.3464566929133858,0.3154121863799283,0.8404896924180122,2400,127
20260405,Isolation Forest,motor_stall,0.1496062992125984,0.95,0.2585034013605442,0.9771667399912012,2293,20
20260405,Isolation Forest,gradual_sensor_drift,0.0526315789473684,0.24,0.0863309352517985,0.8651121865376155,2298,25
20260405,Isolation Forest,accelerated_battery_degradation,0.1,0.4444444444444444,0.1632653061224489,0.8860373792181975,2300,27
20260405,Isolation Forest,gps_jitter_spoofing,0.0,0.0,0.0,0.7345609955376784,2308,35
20260405,Isolation Forest,intermittent_software_hang,0.0608695652173913,0.35,0.1037037037037037,0.7969203695556534,2293,20
